,lstm_n_units,lstm_n_units_2,learning_rate
0,256,160,0.01
1,128,64,0.01
2,128,64,0.01
3,64,64,0.01
4,64,64,0.01
5,96,192,0.001
6,64,160,0.001
7,256,128,0.0001
8,192,256,0.0001
9,64,160,0.01
10,128,128,0.0001
11,96,192,0.001
12,96,192,0.001
13,96,64,0.0001
14,64,160,0.001
15,64,160,0.001
16,256,64,0.0001
17,96,224,0.001
18,64,160,0.01
19,128,224,0.0001
20,96,64,0.01
21,224,192,0.0001
22,224,256,0.01
23,160,96,0.001
24,256,96,0.0001
25,96,224,0.001
26,32,96,0.0001
27,256,128,0.01
28,128,224,0.01
29,32,32,0.0001
