,Conv1D_n_filters,Conv1_kernel_size,LSTM_n_units,learning_rate
0,96,7,256,0.001
1,160,6,224,0.001
2,224,5,64,0.001
3,128,8,256,0.001
4,160,5,128,0.001
5,128,6,32,0.001
6,96,9,64,0.001
7,160,6,224,0.001
8,224,5,64,0.001
9,128,5,96,0.01
10,256,7,256,0.0001
11,128,6,32,0.001
12,224,9,96,0.001
13,160,5,128,0.001
14,128,6,32,0.001
15,256,7,32,0.01
16,224,7,128,0.001
17,160,8,160,0.01
18,160,5,128,0.001
19,224,7,128,0.001
20,64,6,96,0.0001
21,192,6,32,0.001
22,192,7,128,0.0001
23,256,7,128,0.0001
24,128,6,64,0.0001
25,128,10,128,0.001
26,192,6,128,0.001
27,256,7,192,0.01
28,256,7,32,0.01
29,192,10,96,0.01
