,lstm_n_units_1,lstm_n_units_2,learning_rate
0,128,160,0.01
1,160,128,0.0001
2,128,256,0.0001
3,224,32,0.0001
4,160,224,0.001
5,64,32,0.01
6,224,128,0.001
7,160,128,0.0001
8,224,128,0.001
9,160,224,0.001
10,96,160,0.01
11,128,160,0.01
12,224,224,0.0001
13,96,160,0.001
14,160,224,0.001
15,160,64,0.01
16,224,160,0.01
17,128,64,0.01
18,160,128,0.0001
19,96,160,0.001
20,96,160,0.01
21,224,192,0.01
22,32,64,0.001
23,128,256,0.001
24,128,160,0.0001
25,32,224,0.01
26,32,160,0.01
27,64,160,0.0001
28,256,192,0.01
29,64,128,0.0001
