,Conv1D_n_filters,Conv1D_kernel_size,LSTM_n_units,learning_rate
0,256,8,192,0.001
1,256,8,224,0.001
2,96,5,96,0.001
3,224,8,192,0.001
4,256,10,192,0.0001
5,64,5,192,0.0001
6,192,8,96,0.0001
7,32,7,32,0.001
8,32,7,32,0.001
9,256,10,192,0.0001
10,256,10,192,0.0001
11,32,7,32,0.001
12,64,5,192,0.0001
13,96,5,96,0.001
14,192,8,96,0.0001
15,64,6,192,0.01
16,224,9,32,0.001
17,224,8,64,0.0001
18,224,8,64,0.0001
19,128,9,256,0.0001
20,192,9,192,0.001
21,32,7,128,0.001
22,160,8,192,0.001
23,96,5,32,0.001
24,256,9,128,0.001
25,32,7,256,0.01
26,32,9,128,0.01
27,64,6,64,0.01
28,32,8,32,0.01
29,224,9,96,0.01
