,lstm_n_units,lstm_n_units_2,learning_rate
0,192,224,0.01
1,256,64,0.01
2,256,192,0.001
3,128,256,0.001
4,224,224,0.001
5,256,64,0.01
6,224,224,0.001
7,224,224,0.001
8,128,256,0.001
9,128,256,0.01
10,256,192,0.001
11,128,128,0.0001
12,128,256,0.001
13,32,160,0.001
14,160,192,0.001
15,32,192,0.001
16,224,96,0.0001
17,64,160,0.0001
18,32,128,0.001
19,32,224,0.0001
20,32,192,0.0001
21,64,96,0.01
22,160,192,0.001
23,32,160,0.01
24,96,224,0.0001
25,224,32,0.0001
26,256,96,0.0001
27,256,256,0.01
28,96,32,0.01
29,128,256,0.01
