,Conv1D_n_filters,Conv1D_kernel_size,LSTM_n_units,learning_rate
0,224,6,96,0.001
1,64,5,64,0.001
2,192,8,96,0.001
3,64,6,32,0.001
4,160,5,192,0.001
5,256,10,256,0.001
6,64,5,64,0.001
7,192,8,96,0.001
8,160,5,192,0.001
9,160,5,192,0.001
10,64,6,32,0.001
11,160,5,32,0.0001
12,64,6,32,0.001
13,128,10,96,0.001
14,160,10,224,0.0001
15,96,10,160,0.0001
16,256,10,256,0.001
17,160,10,224,0.0001
18,160,6,32,0.01
19,160,5,32,0.001
20,32,10,192,0.01
21,64,8,64,0.01
22,192,7,32,0.0001
23,160,10,160,0.01
24,64,7,128,0.0001
25,192,10,64,0.01
26,96,10,96,0.01
27,224,8,256,0.01
28,32,8,160,0.0001
29,32,9,96,0.0001
