,Conv1D_n_filters,Conv1_kernel_size,LSTM_n_units,learning_rate
0,32,6,64,0.01
1,224,5,96,0.01
2,224,5,96,0.01
3,96,9,96,0.01
4,64,9,192,0.01
5,160,10,160,0.001
6,32,6,64,0.01
7,96,8,128,0.01
8,96,9,96,0.01
9,192,6,256,0.0001
10,32,8,160,0.001
11,96,9,96,0.01
12,256,7,64,0.001
13,128,7,160,0.001
14,96,8,128,0.01
15,128,8,128,0.01
16,64,9,224,0.001
17,128,8,160,0.001
18,192,9,160,0.001
19,32,10,256,0.0001
20,160,9,96,0.0001
21,256,10,32,0.0001
22,96,8,128,0.01
23,128,7,96,0.0001
24,64,10,160,0.001
25,64,9,224,0.001
26,32,5,128,0.0001
27,32,7,192,0.0001
28,128,8,128,0.01
29,256,10,64,0.01
