,lstm_n_units_1,lstm_n_units_2,learning_rate
0,32,192,0.001
1,256,160,0.001
2,192,160,0.001
3,224,160,0.001
4,192,128,0.0001
5,256,160,0.001
6,32,32,0.01
7,224,160,0.001
8,192,160,0.001
9,192,160,0.001
10,256,160,0.001
11,192,128,0.0001
12,192,224,0.0001
13,256,32,0.0001
14,128,32,0.01
15,256,64,0.01
16,32,160,0.01
17,32,160,0.01
18,128,32,0.01
19,64,224,0.01
20,160,192,0.01
21,224,256,0.01
22,64,32,0.01
23,96,192,0.01
24,128,96,0.01
25,224,224,0.01
26,224,224,0.0001
27,192,192,0.0001
28,128,128,0.0001
29,32,256,0.0001
