,lstm_n_units,lstm_n_units_2,learning_rate
0,32,224,0.01
1,192,96,0.01
2,64,160,0.001
3,32,128,0.001
4,64,96,0.001
5,192,96,0.01
6,32,128,0.001
7,64,160,0.001
8,96,256,0.001
9,64,96,0.001
10,160,64,0.0001
11,256,128,0.0001
12,32,128,0.001
13,256,160,0.0001
14,96,64,0.0001
15,64,160,0.001
16,96,256,0.001
17,256,160,0.0001
18,256,192,0.01
19,256,32,0.001
20,256,224,0.001
21,192,160,0.0001
22,160,256,0.0001
23,64,160,0.0001
24,160,96,0.0001
25,32,192,0.0001
26,32,256,0.01
27,96,224,0.01
28,128,256,0.01
29,224,160,0.01
