,Conv1D_n_filters,Conv1D_kernel_size,LSTM_n_units,learning_rate
0,256,5,224,0.001
1,32,8,32,0.001
2,256,5,224,0.001
3,64,9,224,0.0001
4,96,10,32,0.001
5,32,8,32,0.001
6,96,10,32,0.001
7,96,10,32,0.001
8,64,9,224,0.0001
9,128,7,192,0.0001
10,128,7,192,0.0001
11,64,9,224,0.0001
12,64,8,224,0.01
13,256,5,160,0.01
14,160,10,32,0.01
15,32,9,128,0.01
16,32,7,32,0.01
17,160,9,160,0.01
18,64,6,64,0.01
19,96,9,32,0.01
20,96,5,128,0.01
21,64,6,128,0.01
22,32,6,160,0.0001
23,32,10,64,0.0001
24,96,9,32,0.01
25,128,10,224,0.01
26,96,6,224,0.01
27,128,5,32,0.0001
28,160,9,224,0.01
29,128,8,192,0.01
