,lstm_n_units_1,lstm_n_units_2,learning_rate
0,256,64,0.001
1,256,128,0.0001
2,256,64,0.001
3,224,128,0.001
4,224,256,0.001
5,224,256,0.001
6,64,224,0.001
7,64,224,0.001
8,224,64,0.01
9,256,128,0.0001
10,224,32,0.001
11,224,64,0.001
12,192,96,0.0001
13,224,32,0.001
14,224,256,0.001
15,192,96,0.0001
16,64,224,0.001
17,64,96,0.0001
18,192,64,0.01
19,96,32,0.01
20,128,32,0.01
21,64,256,0.01
22,32,160,0.01
23,256,192,0.01
24,96,96,0.01
25,128,128,0.0001
26,160,160,0.01
27,128,256,0.01
28,96,32,0.0001
29,32,96,0.0001
