,Conv1D_n_filters,Conv1D_kernel_size,LSTM_n_units,learning_rate
0,128,6,128,0.001
1,32,9,224,0.001
2,192,9,64,0.0001
3,256,7,256,0.001
4,128,7,224,0.0001
5,128,7,224,0.0001
6,64,9,160,0.0001
7,128,6,128,0.001
8,128,7,224,0.0001
9,224,7,224,0.001
10,32,9,224,0.001
11,64,9,160,0.0001
12,224,5,224,0.001
13,192,8,192,0.001
14,192,6,64,0.001
15,224,9,192,0.001
16,224,10,160,0.01
17,64,10,224,0.01
18,128,6,128,0.001
19,224,7,224,0.001
20,160,10,64,0.001
21,32,8,256,0.0001
22,224,6,160,0.001
23,224,5,224,0.001
24,32,6,64,0.01
25,128,10,160,0.01
26,96,8,256,0.01
27,32,7,32,0.0001
28,224,10,96,0.01
29,192,6,256,0.01
