,lstm_n_units_1,lstm_n_units_2,learning_rate
0,64,192,0.01
1,256,160,0.0001
2,224,96,0.0001
3,128,64,0.001
4,128,96,0.0001
5,224,160,0.0001
6,256,160,0.0001
7,224,160,0.0001
8,64,64,0.001
9,256,160,0.0001
10,128,64,0.001
11,192,32,0.01
12,224,160,0.01
13,224,96,0.0001
14,128,224,0.001
15,160,32,0.0001
16,192,256,0.001
17,224,160,0.0001
18,64,64,0.001
19,128,224,0.001
20,96,192,0.01
21,32,64,0.01
22,96,128,0.001
23,256,128,0.001
24,96,64,0.001
25,160,160,0.001
26,32,192,0.01
27,192,192,0.0001
28,64,64,0.01
29,160,192,0.01
