,Conv1D_n_filters,Conv1D_kernel_size,LSTM_n_units,learning_rate
0,32,7,192,0.001
1,128,9,192,0.0001
2,32,7,192,0.001
3,96,6,160,0.001
4,192,9,160,0.0001
5,160,10,32,0.0001
6,128,6,128,0.001
7,64,9,64,0.001
8,64,6,224,0.01
9,128,9,192,0.0001
10,128,9,192,0.0001
11,96,8,64,0.01
12,128,6,128,0.001
13,224,9,192,0.001
14,64,9,64,0.001
15,160,8,128,0.0001
16,32,8,64,0.01
17,32,7,192,0.001
18,224,10,192,0.0001
19,224,9,192,0.001
20,32,9,128,0.01
21,256,10,192,0.01
22,160,6,32,0.0001
23,64,6,224,0.01
24,32,9,160,0.01
25,96,8,128,0.001
26,192,10,64,0.01
27,224,5,256,0.001
28,64,10,256,0.01
29,96,6,256,0.01
