,Conv1D_n_filters,Conv1_kernel_size,LSTM_n_units,learning_rate
0,224,8,192,0.001
1,224,6,96,0.001
2,256,5,256,0.001
3,192,8,32,0.01
4,224,6,192,0.01
5,32,8,160,0.01
6,64,10,192,0.01
7,224,6,192,0.01
8,224,8,192,0.001
9,224,6,96,0.001
10,160,8,128,0.01
11,256,5,256,0.001
12,256,8,192,0.001
13,256,7,128,0.0001
14,32,6,64,0.001
15,256,5,256,0.001
16,256,10,224,0.001
17,256,8,192,0.001
18,32,6,64,0.001
19,224,6,96,0.001
20,128,5,160,0.001
21,96,6,32,0.01
22,160,8,96,0.001
23,192,7,64,0.01
24,160,7,64,0.01
25,128,8,96,0.0001
26,96,9,256,0.01
27,224,9,160,0.0001
28,192,8,128,0.01
29,32,7,256,0.01
