,lstm_n_units,lstm_n_units_2,learning_rate
0,64,160,0.01
1,128,96,0.01
2,128,224,0.01
3,128,224,0.01
4,32,192,0.01
5,128,32,0.001
6,192,96,0.001
7,128,96,0.01
8,256,96,0.0001
9,192,96,0.001
10,128,32,0.001
11,128,96,0.01
12,128,160,0.001
13,128,256,0.001
14,64,32,0.01
15,128,32,0.001
16,128,160,0.001
17,32,160,0.0001
18,64,128,0.0001
19,128,256,0.001
20,192,192,0.0001
21,32,256,0.0001
22,32,256,0.001
23,160,256,0.01
24,224,96,0.0001
25,128,192,0.001
26,256,96,0.001
27,32,32,0.0001
28,32,224,0.01
29,128,192,0.01
