,lstm_n_units_1,lstm_n_units_2,learning_rate
0,160,32,0.0001
1,128,32,0.0001
2,128,256,0.01
3,256,256,0.0001
4,160,32,0.0001
5,128,32,0.001
6,128,128,0.001
7,224,32,0.01
8,128,256,0.01
9,256,256,0.0001
10,128,128,0.001
11,128,128,0.001
12,64,192,0.0001
13,64,160,0.001
14,256,96,0.001
15,64,160,0.001
16,96,256,0.001
17,256,256,0.0001
18,96,256,0.001
19,160,224,0.001
20,64,160,0.01
21,224,96,0.0001
22,224,192,0.01
23,64,256,0.001
24,32,160,0.001
25,192,192,0.01
26,256,192,0.01
27,192,160,0.01
28,64,32,0.01
29,128,32,0.01
