,lstm_n_units,lstm_n_units_2,learning_rate
0,128,32,0.01
1,224,128,0.01
2,128,32,0.01
3,96,160,0.001
4,64,32,0.001
5,128,32,0.0001
6,96,160,0.001
7,32,128,0.001
8,128,32,0.01
9,128,32,0.0001
10,128,128,0.0001
11,160,160,0.0001
12,128,64,0.01
13,64,32,0.001
14,96,128,0.0001
15,128,160,0.0001
16,224,192,0.01
17,64,32,0.001
18,96,128,0.0001
19,128,160,0.0001
20,64,256,0.0001
21,64,160,0.01
22,64,64,0.01
23,96,32,0.0001
24,160,160,0.01
25,192,64,0.01
26,64,192,0.01
27,64,224,0.01
28,192,192,0.01
29,32,64,0.0001
