,lstm_n_units_1,lstm_n_units_2,learning_rate
0,160,256,0.001
1,256,96,0.0001
2,128,224,0.001
3,32,256,0.0001
4,224,192,0.001
5,224,128,0.001
6,64,160,0.001
7,160,256,0.001
8,224,128,0.001
9,224,192,0.001
10,256,96,0.0001
11,160,256,0.001
12,96,256,0.01
13,224,224,0.01
14,64,192,0.0001
15,128,160,0.01
16,128,224,0.01
17,256,32,0.01
18,256,32,0.01
19,96,96,0.01
20,224,192,0.001
21,128,224,0.01
22,224,160,0.0001
23,160,256,0.0001
24,96,160,0.0001
25,32,96,0.01
26,192,32,0.0001
27,64,96,0.0001
28,160,32,0.0001
29,32,32,0.0001
