,Conv1D_n_filters,Conv1_kernel_size,LSTM_n_units,learning_rate
0,32,5,160,0.01
1,224,5,192,0.01
2,32,10,128,0.01
3,224,9,64,0.01
4,224,5,192,0.01
5,96,5,160,0.001
6,192,5,96,0.01
7,224,5,192,0.01
8,160,6,256,0.001
9,192,7,32,0.001
10,64,6,64,0.001
11,32,10,128,0.01
12,96,5,160,0.001
13,160,6,256,0.001
14,64,8,192,0.001
15,96,9,224,0.01
16,224,8,32,0.001
17,160,9,224,0.001
18,160,6,256,0.001
19,256,6,160,0.0001
20,96,9,224,0.01
21,192,8,64,0.0001
22,96,5,224,0.0001
23,128,6,32,0.001
24,192,9,224,0.0001
25,64,9,224,0.0001
26,192,5,96,0.01
27,256,9,192,0.01
28,160,10,224,0.001
29,256,10,256,0.01
