,Conv1D_n_filters,Conv1D_kernel_size,LSTM_n_units,learning_rate
0,192,9,224,0.0001
1,192,8,64,0.0001
2,96,5,224,0.0001
3,256,6,160,0.0001
4,128,6,32,0.001
5,128,6,32,0.001
6,64,9,224,0.0001
7,192,9,224,0.0001
8,192,8,64,0.0001
9,96,5,160,0.001
10,64,8,192,0.001
11,64,9,224,0.0001
12,192,9,224,0.0001
13,160,9,224,0.001
14,160,6,256,0.001
15,160,9,224,0.001
16,32,10,128,0.01
17,224,8,32,0.001
18,64,9,224,0.0001
19,256,7,96,0.001
20,256,7,96,0.001
21,192,5,256,0.01
22,160,10,224,0.001
23,96,5,128,0.001
24,256,9,192,0.01
25,224,5,192,0.01
26,192,5,96,0.01
27,256,7,192,0.001
28,96,9,224,0.01
29,256,10,256,0.01
