,Conv1D_n_filters,Conv1_kernel_size,LSTM_n_units,learning_rate
0,64,5,224,0.001
1,256,9,192,0.01
2,192,9,32,0.01
3,256,6,128,0.001
4,224,5,224,0.01
5,224,5,224,0.01
6,224,5,224,0.01
7,32,7,96,0.01
8,256,7,64,0.01
9,256,9,192,0.01
10,32,5,192,0.01
11,192,9,32,0.01
12,160,9,192,0.001
13,256,7,64,0.01
14,96,5,160,0.001
15,160,9,192,0.001
16,256,9,192,0.01
17,96,5,160,0.001
18,32,10,128,0.01
19,256,9,160,0.0001
20,256,5,96,0.0001
21,64,9,160,0.01
22,96,8,32,0.0001
23,128,6,224,0.0001
24,32,5,160,0.01
25,256,8,256,0.0001
26,256,10,64,0.0001
27,96,8,160,0.0001
28,224,9,256,0.0001
29,32,9,192,0.01
