,Conv1D_n_filters,Conv1D_kernel_size,LSTM_n_units,learning_rate
0,256,7,64,0.001
1,128,7,160,0.001
2,128,7,160,0.001
3,32,7,64,0.001
4,192,5,160,0.0001
5,64,8,128,0.0001
6,32,8,128,0.001
7,192,10,32,0.001
8,128,7,160,0.001
9,256,10,224,0.001
10,32,7,64,0.001
11,192,5,160,0.0001
12,160,5,128,0.001
13,32,8,128,0.001
14,160,8,224,0.0001
15,192,8,160,0.0001
16,64,7,32,0.001
17,32,8,128,0.001
18,160,6,128,0.0001
19,160,5,128,0.001
20,192,10,32,0.001
21,192,9,32,0.001
22,224,10,32,0.0001
23,160,7,64,0.0001
24,256,6,32,0.001
25,64,6,256,0.0001
26,160,5,192,0.01
27,32,6,96,0.0001
28,128,5,224,0.01
29,32,8,32,0.0001
