,lstm_n_units_1,lstm_n_units_2,learning_rate
0,224,96,0.001
1,64,160,0.001
2,64,256,0.0001
3,192,64,0.0001
4,128,224,0.001
5,64,32,0.0001
6,256,32,0.001
7,128,96,0.001
8,128,224,0.001
9,256,32,0.001
10,128,96,0.001
11,256,192,0.0001
12,64,256,0.0001
13,224,224,0.0001
14,32,224,0.001
15,96,256,0.0001
16,128,96,0.001
17,96,256,0.0001
18,224,224,0.0001
19,64,256,0.0001
20,224,32,0.0001
21,32,96,0.01
22,160,96,0.01
23,192,32,0.01
24,256,64,0.01
25,192,96,0.01
26,128,128,0.0001
27,32,32,0.0001
28,64,96,0.01
29,32,128,0.0001
